Id,Cover_Type
232128,1
420531,1
83599,1
339808,1
484699,1
144319,1
202842,1
212288,1
501136,1
30053,1
491509,1
17764,1
535812,1
342013,1
418003,1
181605,1
278169,1
298035,1
373020,1
45716,1
115423,1
192085,1
283777,1
563738,1
58311,1
204765,1
209286,1
473100,1
503203,1
576548,1
380013,1
371160,1
254234,1
433529,1
43603,1
240994,1
525299,1
245984,1
261529,1
421694,1
493552,1
252502,1
114967,1
193220,1
518576,1
157948,1
388284,1
454645,1
371786,1
483594,1
490512,1
541344,1
545941,1
188914,1
318963,1
113580,1
225131,1
273292,1
483827,1
26158,1
437176,1
183763,1
227436,1
422514,1
185233,1
556461,1
163835,1
463872,1
192235,1
485545,1
560225,1
199683,1
111490,1
234811,1
193812,1
152176,1
329979,1
244042,1
579036,1
471981,1
429190,1
418267,1
376207,1
406713,1
233517,1
578911,1
29723,1
514130,1
57058,1
471288,1
261308,1
124547,1
441407,1
16815,1
400207,1
379017,1
280373,1
345583,1
531162,1
111798,1
174678,1
318159,1
379346,1
68901,1
78256,1
182994,1
383459,1
245111,1
107333,1
420178,1
512092,1
148240,1
486288,1
405125,1
120330,1
550346,1
88199,1
289673,1
486709,1
96380,1
291592,1
360884,1
36029,1
433708,1
446157,1
427791,1
210977,1
536999,1
185974,1
67828,1
256140,1
261435,1
140038,1
287442,1
309137,1
561181,1
274374,1
231865,1
303053,1
574097,1
387651,1
340476,1
374167,1
393809,1
403750,1
40441,1
526265,1
360188,1
572240,1
502503,1
245921,1
368414,1
212869,1
139506,1
367755,1
468833,1
141141,1
51070,1
30300,1
346434,1
223832,1
128059,1
356877,1
146181,1
435955,1
356817,1
103939,1
369450,1
138494,1
551541,1
187967,1
445278,1
271288,1
402921,1
448336,1
61087,1
535477,1
305035,1
380632,1
395811,1
176288,1
272622,1
158731,1
84766,1
71022,1
247537,1
398128,1
411839,1
578946,1
34376,1
113438,1
59908,1
555848,1
404906,1
419111,1
59906,1
573013,1
214176,1
195025,1
571038,1
176851,1
60586,1
105705,1
150850,1
42245,1
208356,1
109748,1
282958,1
74450,1
47866,1
148081,1
477053,1
403443,1
105649,1
250876,1
540647,1
100401,1
504246,1
576065,1
152967,1
404595,1
215747,1
346604,1
257792,1
547559,1
510483,1
274669,1
209659,1
358804,1
378403,1
66141,1
287676,1
384761,1
125947,1
122293,1
77898,1
27725,1
527009,1
324618,1
454537,1
561640,1
235002,1
528507,1
282541,1
191118,1
275547,1
111367,1
85476,1
348544,1
458264,1
197256,1
126019,1
304153,1
118763,1
100782,1
557928,1
472462,1
575422,1
477774,1
216546,1
353098,1
237808,1
566745,1
272513,1
543106,1
536162,1
200462,1
254155,1
346786,1
471903,1
298822,1
577728,1
250191,1
416472,1
500156,1
483389,1
151519,1
213974,1
156750,1
531639,1
470830,1
33250,1
329577,1
344109,1
475606,1
438101,1
47839,1
524278,1
157089,1
390093,1
252491,1
155964,1
497106,1
505995,1
170123,1
389202,1
291179,1
345811,1
438360,1
261003,1
489870,1
497712,1
253649,1
367770,1
351582,1
30243,1
22659,1
223296,1
300142,1
177297,1
525666,1
362496,1
561032,1
91316,1
60166,1
450998,1
39187,1
33088,1
321578,1
385894,1
56429,1
119274,1
41686,1
311879,1
437644,1
286417,1
180216,1
367834,1
64085,1
295926,1
491806,1
344663,1
479394,1
50814,1
284232,1
508655,1
93711,1
443182,1
533802,1
239562,1
552034,1
131461,1
131980,1
20223,1
306991,1
43811,1
428977,1
41540,1
225632,1
528376,1
485322,1
281001,1
456870,1
69550,1
540638,1
328654,1
464160,1
170125,1
86355,1
241714,1
491351,1
259815,1
540545,1
366449,1
220811,1
525426,1
40763,1
274307,1
429222,1
46942,1
134730,1
447901,1
403955,1
46046,1
21612,1
425938,1
395508,1
360085,1
550581,1
372276,1
147987,1
444922,1
333058,1
53915,1
221498,1
59590,1
362811,1
166206,1
489056,1
226667,1
445270,1
369347,1
313669,1
131576,1
307499,1
82022,1
466168,1
280675,1
297710,1
164478,1
559874,1
302457,1
347400,1
580064,1
361288,1
500799,1
505100,1
246261,1
104656,1
434628,1
400953,1
280125,1
193415,1
579537,1
499523,1
353841,1
530475,1
121235,1
228902,1
251449,1
494361,1
44208,1
290765,1
339438,1
295390,1
355445,1
282066,1
120645,1
325480,1
104381,1
371901,1
407223,1
485435,1
340583,1
117806,1
167201,1
488983,1
509668,1
430242,1
18853,1
473720,1
123314,1
115215,1
53876,1
545001,1
262967,1
45681,1
75565,1
577309,1
388626,1
227320,1
559873,1
162030,1
154017,1
470580,1
412876,1
18626,1
527103,1
456080,1
414699,1
265785,1
248921,1
307580,1
555394,1
428046,1
63011,1
561227,1
439383,1
313482,1
109598,1
283882,1
351592,1
384834,1
267293,1
329302,1
338765,1
423518,1
429191,1
160229,1
34245,1
256249,1
33542,1
311235,1
309810,1
148849,1
506000,1
402352,1
51435,1
29718,1
226318,1
333999,1
101967,1
455289,1
224768,1
409695,1
59894,1
429825,1
372120,1
382973,1
565059,1
209309,1
258103,1
252369,1
424993,1
298947,1
191786,1
84339,1
118508,1
239866,1
260448,1
147022,1
33313,1
91369,1
328047,1
294333,1
481313,1
343914,1
144081,1
362897,1
535512,1
422975,1
292343,1
377890,1
153893,1
15204,1
499253,1
557066,1
86696,1
326567,1
36080,1
34164,1
430020,1
315759,1
120304,1
28827,1
183013,1
31287,1
177268,1
154176,1
66888,1
386377,1
86580,1
194308,1
42757,1
76268,1
265814,1
231849,1
344353,1
210626,1
87904,1
553737,1
48673,1
329444,1
104949,1
99071,1
514727,1
413299,1
141405,1
76531,1
314002,1
369287,1
25069,1
571965,1
67127,1
118853,1
186003,1
62080,1
463760,1
69541,1
52192,1
234330,1
421281,1
135995,1
469150,1
539871,1
75795,1
55010,1
259031,1
462162,1
212199,1
504757,1
151679,1
237172,1
579575,1
174650,1
210831,1
394995,1
306049,1
532689,1
234708,1
312940,1
336909,1
234590,1
222255,1
387838,1
454912,1
206201,1
437047,1
504589,1
274685,1
82793,1
65738,1
36538,1
253421,1
483904,1
577600,1
566585,1
398678,1
157074,1
315554,1
377751,1
309288,1
404274,1
528005,1
418333,1
420464,1
111707,1
124825,1
507509,1
340456,1
108942,1
396653,1
160088,1
492616,1
528046,1
135063,1
308144,1
396808,1
241271,1
274553,1
26514,1
341841,1
484164,1
363898,1
424343,1
230284,1
527229,1
53426,1
205582,1
303877,1
561831,1
549286,1
226878,1
327866,1
235762,1
430227,1
362880,1
117031,1
118290,1
233498,1
319569,1
312274,1
221004,1
110511,1
528305,1
492317,1
549165,1
417914,1
421120,1
357381,1
79984,1
548462,1
427589,1
441297,1
232106,1
465557,1
513217,1
245581,1
432318,1
524276,1
212898,1
205844,1
194664,1
119768,1
573998,1
563286,1
188806,1
210721,1
485405,1
529703,1
44484,1
449401,1
112502,1
576917,1
410074,1
279884,1
331531,1
359772,1
339666,1
176947,1
197894,1
191345,1
333605,1
536638,1
510215,1
279495,1
227997,1
230866,1
119906,1
451974,1
337903,1
522481,1
92216,1
23940,1
481012,1
496830,1
68010,1
322308,1
82069,1
442799,1
578164,1
118096,1
394256,1
564590,1
566942,1
449089,1
549698,1
293305,1
330746,1
176224,1
403205,1
351332,1
286236,1
495490,1
555897,1
349665,1
209849,1
104284,1
196100,1
29692,1
147153,1
139878,1
237027,1
84581,1
546656,1
165274,1
254263,1
391752,1
159195,1
286636,1
395608,1
295526,1
294883,1
415882,1
281433,1
212420,1
60868,1
280722,1
373623,1
182728,1
103786,1
321736,1
321428,1
341994,1
483242,1
529816,1
65885,1
428370,1
265091,1
442157,1
302983,1
24234,1
382400,1
22143,1
194477,1
324766,1
138909,1
454812,1
147142,1
380742,1
554528,1
140400,1
60153,1
335783,1
481752,1
513498,1
479456,1
522757,1
428221,1
305221,1
569903,1
300433,1
401081,1
294930,1
485391,1
33132,1
450043,1
386012,1
348159,1
154888,1
523108,1
279138,1
429192,1
469902,1
216837,1
464814,1
324137,1
65970,1
416984,1
219025,1
149485,1
361361,1
384743,1
400760,1
86606,1
274198,1
454077,1
388285,1
297184,1
308367,1
415537,1
102899,1
31322,1
101354,1
198127,1
159816,1
448377,1
328965,1
492459,1
38940,1
373797,1
224283,1
172804,1
225505,1
401312,1
317276,1
345131,1
438106,1
334182,1
231678,1
280788,1
565890,1
382850,1
283751,1
461413,1
46380,1
140516,1
442192,1
159810,1
221666,1
511529,1
526844,1
27529,1
474863,1
451174,1
382382,1
563010,1
440483,1
122023,1
220262,1
486451,1
490978,1
250201,1
78209,1
83617,1
387319,1
65076,1
537696,1
441808,1
207370,1
361135,1
287576,1
73603,1
77226,1
236996,1
29331,1
290537,1
80827,1
503524,1
130665,1
169433,1
174785,1
135617,1
578384,1
354693,1
180347,1
575476,1
580878,1
554057,1
68694,1
183422,1
308348,1
492846,1
173769,1
495931,1
354500,1
447151,1
82912,1
39907,1
361874,1
419373,1
434928,1
279608,1
289019,1
24094,1
147284,1
416291,1
261135,1
158039,1
450734,1
475210,1
157476,1
496943,1
109366,1
233588,1
161676,1
502282,1
436105,1
62183,1
171017,1
373877,1
